,Date,Open,Close,High,Low,Volume
361,2020-02-20,322.63,320.3,324.65,318.21,25141489
362,2020-02-21,318.62,313.05,320.45,310.5,32426415
363,2020-02-24,297.26,298.18,304.18,289.23,55548828
364,2020-02-25,300.95,288.08,302.53,286.13,57668364
365,2020-02-26,286.53,292.65,297.88,286.5,49678431
366,2020-02-27,281.1,273.52,286.0,272.96,80151381
367,2020-02-28,257.26,273.36,278.41,256.37,106721230
368,2020-03-02,282.28,298.81,301.44,277.72,85349339
369,2020-03-03,303.67,289.32,304.0,285.8,79868852
370,2020-03-04,296.44,302.74,303.4,293.13,54794568
371,2020-03-05,295.52,292.92,299.55,291.41,46893219
372,2020-03-06,282.0,289.03,290.82,281.23,56544246
373,2020-03-09,263.75,266.17,278.09,263.0,71686208
374,2020-03-10,277.14,285.34,286.44,269.37,71322520
375,2020-03-11,277.39,275.43,281.22,271.86,64094970
376,2020-03-12,255.94,248.23,270.0,248.0,104618517
377,2020-03-13,264.89,277.97,279.92,252.95,92683032
378,2020-03-16,241.95,242.21,259.08,240.0,80605865
379,2020-03-17,247.51,252.86,257.61,238.4,81013965
380,2020-03-18,239.77,246.67,250.0,237.12,75058406
381,2020-03-19,247.39,244.78,252.84,242.61,67964255
382,2020-03-20,247.18,229.24,251.83,228.0,100423346
383,2020-03-23,228.08,224.37,228.5,212.61,84188208
384,2020-03-24,236.36,246.88,247.69,234.3,71882773
385,2020-03-25,250.75,245.52,258.25,244.3,75900510
386,2020-03-26,246.52,258.44,258.68,246.36,63140169
387,2020-03-27,252.75,247.74,255.87,247.05,51054153
388,2020-03-30,250.74,254.81,255.52,249.4,41994110
389,2020-03-31,255.6,254.29,262.49,252.0,49250501
390,2020-04-01,246.5,240.91,248.72,239.13,44054638
391,2020-04-02,240.34,244.93,245.15,236.9,41483493
392,2020-04-03,242.8,241.41,245.7,238.97,32470017
393,2020-04-06,250.9,262.47,263.11,249.38,50455071
394,2020-04-07,270.8,259.43,271.7,259.0,50721831
395,2020-04-08,262.74,266.07,267.37,261.23,42223821
396,2020-04-09,268.7,267.99,270.07,264.7,40529123
397,2020-04-13,268.31,273.25,273.7,265.83,32755731
398,2020-04-14,280.0,287.05,288.25,278.05,48748672
399,2020-04-15,282.4,284.43,286.33,280.63,32788641
400,2020-04-16,287.38,286.69,288.2,282.35,39281290
401,2020-04-17,284.69,282.8,286.95,276.86,53812478
402,2020-04-20,277.95,276.93,281.68,276.85,32503750
403,2020-04-21,276.28,268.37,277.25,265.43,45247893
404,2020-04-22,273.61,276.1,277.9,272.2,29264342
405,2020-04-23,275.87,275.03,281.75,274.87,31203582
406,2020-04-24,277.2,282.97,283.01,277.0,31627183
407,2020-04-27,281.8,283.17,284.54,279.95,29271893
408,2020-04-28,285.08,278.58,285.83,278.2,28001187
409,2020-04-29,284.73,287.73,289.67,283.89,34320204
410,2020-04-30,289.96,293.8,294.53,288.35,45765968
411,2020-05-01,286.25,289.07,299.0,285.85,60154175
412,2020-05-04,289.17,293.16,293.69,286.32,33391986
413,2020-05-05,295.06,297.56,301.0,294.46,36937795
414,2020-05-06,300.46,300.63,303.24,298.87,35583438
415,2020-05-07,303.22,303.74,305.17,301.97,28803764
416,2020-05-08,305.64,310.13,310.35,304.29,33511985
417,2020-05-11,308.1,315.01,317.05,307.24,36486561
418,2020-05-12,317.83,311.41,319.69,310.91,40575263
419,2020-05-13,312.15,307.65,315.95,303.21,50155639
420,2020-05-14,304.51,309.54,309.79,301.53,39732269
421,2020-05-15,300.35,307.71,307.9,300.21,41587094
422,2020-05-18,313.17,314.96,316.5,310.32,33843125
423,2020-05-19,315.03,313.14,318.52,313.01,25432385
424,2020-05-20,316.68,319.23,319.52,316.2,27876215
425,2020-05-21,318.66,316.85,320.89,315.87,25672211
426,2020-05-22,315.77,318.89,319.23,315.35,20450754
427,2020-05-26,323.5,316.73,324.24,316.5,31380454
428,2020-05-27,316.14,318.11,318.71,313.09,28236274
429,2020-05-28,316.77,318.25,323.44,315.63,33449103
430,2020-05-29,319.25,317.94,321.15,316.47,38399532
431,2020-06-01,317.75,321.85,322.35,317.21,20254653
432,2020-06-02,320.75,323.34,323.44,318.93,21910704
433,2020-06-03,324.66,325.12,326.2,322.3,26122804
434,2020-06-04,324.39,322.32,325.62,320.78,21890091
435,2020-06-05,323.35,331.5,331.75,323.23,34312550
436,2020-06-08,330.25,333.46,333.6,327.32,23913634
437,2020-06-09,332.14,343.99,345.61,332.01,36928091
438,2020-06-10,347.9,352.84,354.77,346.09,41662938
439,2020-06-11,349.31,335.9,351.06,335.48,50415613
440,2020-06-12,344.72,338.8,347.8,334.22,50036513
441,2020-06-15,333.25,342.99,345.68,332.58,34702230
442,2020-06-16,351.46,352.08,353.2,344.72,41357182
443,2020-06-17,355.15,351.59,355.4,351.09,28601626
444,2020-06-18,351.41,351.73,353.45,349.22,24205096
445,2020-06-19,354.64,349.72,356.56,345.15,66118952
446,2020-06-22,351.34,358.87,359.46,351.15,33861316
447,2020-06-23,364.0,366.53,372.38,362.27,53038869
448,2020-06-24,365.0,360.06,368.79,358.52,48155849
449,2020-06-25,360.7,364.84,365.0,357.57,34380628
450,2020-06-26,364.41,353.63,365.32,353.02,51314211
451,2020-06-29,353.25,361.78,362.17,351.28,32661519
452,2020-06-30,360.08,364.8,365.98,360.0,35055821
453,2020-07-01,365.12,364.11,367.36,363.91,27684309
454,2020-07-02,367.85,364.11,370.47,363.64,28510367
455,2020-07-06,370.0,373.85,375.78,369.87,29663913
456,2020-07-07,375.41,372.69,378.62,372.23,28106114
457,2020-07-08,376.72,381.37,381.5,376.36,29272970
